,Unnamed: 0,Timestamp,PV_profile 2,PV_profile 5,PV_profile 6,PV_profile 3,PV_profile 4,PV_profile 7,PV_profile 1,WD 1,R210 Load,X84_1 MV Load_x,X84_1 MV Load_y,R1,R2,R3,R4,R5,R6
3008,3393,2021-05-04 10:15:00,0.1043083900226757,0.1105442176870748,0.1101836393989983,0.1362725450901803,0.1349693251533742,0.1158113730929264,0.1055194805194805,0.0093785003218828,0.3198948378275748,0.2285714285714286,0.7837837837837838,0.9997831281376048,0.9944153447003776,0.0306622949052399,0.0053970047120063,0.4644007285946965,0.0011304628339372
3009,3394,2021-05-04 10:30:00,0.1111111111111111,0.1105442176870748,0.1101836393989983,0.1302605210420841,0.1288343558282208,0.1192787794729542,0.1087662337662337,0.0013089394175177,0.3172655438989397,0.2571428571428572,0.7837837837837838,0.999783417589542,0.9943768753812452,0.0418599626740215,0.0053561421784406,0.0288906350117569,0.0007459704144622
3010,3395,2021-05-04 10:45:00,0.0702947845804988,0.0935374149659864,0.0918196994991652,0.1162324649298597,0.1145194274028629,0.0991678224687933,0.0909090909090909,0.0024597350555799,0.3409290181009487,0.2285714285714286,0.7837837837837838,0.9998332079140146,0.9943616206563308,0.0300383143732098,0.0008298247725997,0.0302842357804209,0.0008152191145426
3011,3396,2021-05-04 11:00:00,0.0498866213151927,0.0663265306122449,0.0684474123539232,0.0921843687374749,0.0899795501022494,0.0709084604715672,0.0681818181818181,0.0006824815211152,0.3041191769491886,0.2285714285714286,0.7837837837837838,0.9997834054021968,0.9944136321612848,0.0091642819893325,0.014421345241377,0.0269069291473234,0.0006101065195042
3012,3397,2021-05-04 11:15:00,0.0612244897959183,0.0663265306122449,0.0651085141903172,0.0801603206412825,0.0777096114519427,0.0707350901525658,0.0633116883116883,0.0006824815211152,0.3181419637981043,0.2571428571428572,0.7837837837837838,0.9997827997785932,0.9943832518293316,0.0007676888609121,0.0046206155031668,0.0269921083100472,0.0008433532629312
3013,3398,2021-05-04 11:30:00,0.0725623582766439,0.0901360544217687,0.0901502504173622,0.1102204408817635,0.1063394683026584,0.0974341192787794,0.0892857142857142,0.0006824815211152,0.3067484708778233,0.2285714285714286,0.8108108108108107,0.9997834145427364,0.995262713976272,0.0017970887679844,0.0102806077105969,0.0383411229906085,0.0006352281789987
3014,3399,2021-05-04 11:45:00,0.0839002267573696,0.1037414965986394,0.1018363939899833,0.1342685370741483,0.1329243353783231,0.1097434119278779,0.1006493506493506,0.0006824815211152,0.2822085767766496,0.2285714285714286,0.7837837837837838,0.999781799076158,0.9981298658847984,0.0018552474135723,0.0194862150352201,0.0727085609025674,0.000818263472514
3015,3400,2021-05-04 13:00:00,0.1428571428571428,0.1122448979591836,0.1118530884808013,0.1442885771543086,0.1411042944785276,0.1210124826629681,0.1103896103896103,0.0006824815211152,0.2524101632804883,0.2285714285714286,0.8108108108108107,0.999782152275452,0.9943891476106403,0.0433962116948656,0.0008298248549886,0.0002353403954838,0.0081646597055717
3016,3401,2021-05-04 13:15:00,0.1859410430839002,0.1377551020408163,0.1385642737896494,0.1663326653306613,0.16359918200409,0.1484049930651872,0.137987012987013,0.0006824815211152,0.2436459300577013,0.2571428571428572,0.8108108108108107,0.9997840945246164,0.9944620798288076,0.04281462981363,0.0079021955853361,0.0046751897847816,0.0080211043817378
3017,3402,2021-05-04 13:30:00,0.1587301587301587,0.1207482993197278,0.1185308848080133,0.1322645290581162,0.130879345603272,0.1286407766990291,0.1168831168831168,0.1525219998381419,0.2392637963307372,0.2571428571428572,0.8108108108108107,0.999782430621632,0.9943658255031383,0.0492338438594171,0.0031217219715278,0.020187442220439,0.0085414850286459
